	V_gene	mutability
222	IGHV4-34 n=61	0.01
223	IGHV4-34 n=61	0.01
224	IGHV4-34 n=61	0.0
225	IGHV4-34 n=61	0.0
226	IGHV4-34 n=61	0.0
227	IGHV4-34 n=61	0.0
228	IGHV4-34 n=61	0.0
229	IGHV4-34 n=61	0.0
230	IGHV4-34 n=61	0.0
231	IGHV4-34 n=61	0.0
232	IGHV4-34 n=61	0.04
233	IGHV4-34 n=61	0.0
234	IGHV4-34 n=61	0.0
235	IGHV4-34 n=61	0.0
236	IGHV4-39 n=55	0.03
237	IGHV4-39 n=55	0.03
238	IGHV4-39 n=55	0.01
239	IGHV4-39 n=55	0.01
240	IGHV4-39 n=55	0.01
241	IGHV4-39 n=55	0.0
242	IGHV4-39 n=55	0.18
243	IGHV4-39 n=55	0.01
244	IGHV4-39 n=55	0.0
245	IGHV4-39 n=55	0.05
246	IGHV4-39 n=55	0.03
247	IGHV4-39 n=55	0.02
248	IGHV4-39 n=55	0.01
249	IGHV4-39 n=55	0.01
250	IGHV4-39 n=55	0.01
251	IGHV4-39 n=55	0.0
252	IGHV4-39 n=55	0.0
253	IGHV4-39 n=55	0.0
254	IGHV4-39 n=55	0.01
255	IGHV4-39 n=55	0.01
256	IGHV4-39 n=55	0.0
257	IGHV4-39 n=55	0.01
258	IGHV4-39 n=55	0.0
259	IGHV4-39 n=55	0.0
260	IGHV4-39 n=55	0.0
261	IGHV4-39 n=55	0.0
262	IGHV4-39 n=55	0.01
263	IGHV4-39 n=55	0.01
264	IGHV4-39 n=55	0.01
265	IGHV4-39 n=55	0.01
266	IGHV4-39 n=55	0.1
267	IGHV4-39 n=55	0.0
268	IGHV4-39 n=55	0.01
269	IGHV4-39 n=55	0.01
270	IGHV4-39 n=55	0.0
271	IGHV4-39 n=55	0.01
272	IGHV4-39 n=55	0.0
273	IGHV4-39 n=55	0.03
274	IGHV4-39 n=55	0.01
275	IGHV4-39 n=55	0.1
276	IGHV4-39 n=55	0.0
277	IGHV4-39 n=55	0.01
278	IGHV4-39 n=55	0.02
279	IGHV4-39 n=55	0.02
280	IGHV4-39 n=55	0.0
281	IGHV4-39 n=55	0.01
282	IGHV4-39 n=55	0.01
283	IGHV4-39 n=55	0.01
284	IGHV4-39 n=55	0.01
285	IGHV4-39 n=55	0.0
286	IGHV4-39 n=55	0.01
287	IGHV4-39 n=55	0.0
288	IGHV4-39 n=55	0.01
289	IGHV4-39 n=55	0.0
290	IGHV4-39 n=55	0.02
291	IGHV3-33 n=54	0.01
292	IGHV3-33 n=54	0.0
293	IGHV3-33 n=54	0.0
294	IGHV3-33 n=54	0.0
295	IGHV3-33 n=54	0.0
296	IGHV3-33 n=54	0.0
297	IGHV3-33 n=54	0.0
298	IGHV3-33 n=54	0.01
299	IGHV3-33 n=54	0.01
300	IGHV3-33 n=54	0.01
301	IGHV3-33 n=54	0.0
302	IGHV3-33 n=54	0.0
303	IGHV3-33 n=54	0.0
304	IGHV3-33 n=54	0.01
305	IGHV3-33 n=54	0.01
306	IGHV3-33 n=54	0.01
307	IGHV3-33 n=54	0.0
308	IGHV3-33 n=54	0.01
309	IGHV3-33 n=54	0.01
